School ID,School Name,Network,Governance,School Type,Community Area,Total,PE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12
610024,CARDENAS,ISP,District,Traditional,SOUTH LAWNDALE,818,0,38,77,81,81,88,82,95,80,82,114,0,0,0,0
609837,CARNEGIE,Network 9,District,Traditional,WOODLAWN,439,0,0,32,35,51,45,57,55,52,59,53,0,0,0,0
609839,CARROLL,Network 10,District,Traditional,ASHBURN,417,25,48,30,43,44,34,34,42,42,44,31,0,0,0,0
609842,CARSON,ISP,District,Traditional,GAGE PARK,791,1,53,75,67,69,99,69,72,69,105,112,0,0,0,0
609844,CARTER,Network 9,District,Traditional,WASHINGTON PARK,295,1,19,28,39,35,21,25,32,34,39,22,0,0,0,0
609845,CARVER G,Network 13,District,Traditional,RIVERDALE,461,3,30,34,63,52,42,38,43,62,42,52,0,0,0,0
609760,CARVER MILITARY HS,Network 17,District,Traditional,RIVERDALE,412,0,0,0,0,0,0,0,0,0,0,0,128,107,83,94
610021,CASALS,Network 5,District,Traditional,HUMBOLDT PARK,349,20,23,29,40,28,35,24,34,34,37,45,0,0,0,0
609849,CASSELL,ISP,District,Traditional,MOUNT GREENWOOD,351,0,0,30,42,38,49,36,32,39,42,43,0,0,0,0
610251,CATHER,Network 5,District,Traditional,EAST GARFIELD PARK,340,27,14,30,35,27,34,32,42,33,35,31,0,0,0,0
609851,CHALMERS,Network 5,District,Traditional,NORTH LAWNDALE,218,0,12,23,13,25,20,25,25,26,22,27,0,0,0,0
609852,CHAPPELL,Network 2,District,Traditional,LINCOLN SQUARE,541,13,45,55,53,51,66,53,55,59,45,46,0,0,0,0
609853,CHASE,Network 4,District,Traditional,LOGAN SQUARE,376,43,40,37,40,43,22,25,25,31,33,37,0,0,0,0
610148,CHAVEZ,ISP,District,Traditional,NEW CITY,823,0,58,92,73,88,84,82,82,83,88,93,0,0,0,0
610248,CHICAGO ACADEMY ES,AUSL,District,Traditional,DUNNING,565,0,56,52,56,53,58,51,59,59,60,61,0,0,0,0
610340,CHICAGO ACADEMY HS,AUSL,District,Traditional,DUNNING,552,0,0,0,0,0,0,0,0,0,0,0,137,141,133,141
609753,CHICAGO AGRICULTURE HS,ISP,District,Traditional,MOUNT GREENWOOD,791,0,0,0,0,0,0,0,0,0,0,0,197,189,201,204
609754,CHICAGO MILITARY HS,Network 17,District,Traditional,DOUGLAS,228,0,0,0,0,0,0,0,0,0,0,0,56,62,60,50
609674,CHICAGO VOCATIONAL HS,Network 17,District,Traditional,AVALON PARK,626,0,0,0,0,0,0,0,0,0,0,0,193,179,128,126
